0.5	0.17	0.25	0.13	0.67	0.22	0.44	0.67	0.53
0.52	0.78	0.62	0.12	1	0.21	0.5	1	0.67
0.7	0.35	0.46	0.29	0.5	0.37	0.5	0.5	0.5
0.78	0.59	0.67	0.6	0.75	0.67	0.57	1	0.73
0.51	0.48	0.54	0.14	0.2	0.16	0.38	0.6	0.47
0.22	0.68	0.33	0.14	1	0.25	0.14	1	0.25
0.22	0.68	0.33	0.14	1	0.25	0.2	1	0.33
0.4	0.6	0.47	0.2	1	0.33	0.67	1	0.8
0.5	0.33	0.39	0.23	1	0.37	0.67	0.67	0.67
0.62	0.24	0.35	0.31	0.8	0.45	0.38	0.6	0.47
0.89	0.44	0.59	0.21	0.83	0.34	0.45	0.83	0.58
0.9	0.32	0.47	0.75	0.55	0.63	0.67	0.55	0.6
0.65	0.49	0.56	0.19	0.5	0.28	0.71	0.63	0.67
