1	4	6.75	4.25
2	7	7	7
3	8	14	11.5
4	4	5.67	6.75
5	4.5	4	6.67
6	0	6	6
7	0	5	5
8	0	12	12
9	0	7.33	9
10	10.5	10.75	13
11	7.67	6.8	6.8
12	8.33	8.5	8
13	8	8	7.6
14	5.33	7.75	9.5
15	7.25	5.5	7.25
