01/13	1	6	0	0	0
02/13	2	2	0	0	0
03/13	3	2	1	0	1	
04/13	4	3	1	0	0
05/13	5	2	3	0	0
06/13	6	1	0	0	0
07/13	7	1	0	0	0	
08/13	8	1	1	0	0
09/13	9	1	2	0	0
10/13	10	3	1	1	0
11/13	11	4	2	0	0
12/13	12	8	3	0	0
01/14	13	7	0	0	1
02/14	14	4	1	1	0
03/14	15	4	1	0	0
