1	0.1176402845
2	0.0976130338
3	0.0861330829
4	0.0849565611
5	0.0762298263
6	0.0819689632
7	0.0912404739
8	0.1053057031
9	0.1196308731
10	0.1068192774
11	0.0833333333
12	0.0833333333
13	0.0833333333
14	0.0833333333
15	0.008850333
16	0.0833333333
17	0.0833333333
18	0.1690572781
19	0.0833333333
20	0.0833333333
21	0.0833333333
22	0.0869557
23	0.1414891719
24	0.1400715546
25	0.1252971866
26	0.168952454
27	0.150131086
28	0.1296054756
29	0.151328131
30	0.1269637391
31	0.1531420198
32	0.1703301718
33	0.1643719845
34	0.144804874
35	0.1443146774
36	0.1609052362
37	0.132485306
38	0.119341562
39	0.1151466581
40	0.1080650898
41	0.1238376274
42	0.1112038863
43	0.1211320599
44	0.1232732408
45	0.1279780538
46	0.1266489783
47	0.1209681867
48	0.1139557912
49	0.1065404342
50	0.1088097488
51	0.1051038513
52	0.0850421599
53	0.0975367107
54	0.0944077497
55	0.119798616
56	0.111565725
57	0.1001976657
58	0.1192045541
59	0.0959349672
60	0.110042735
61	0.1037390161
62	0.1136183486
63	0.1154924765
64	0.1158893972
65	0.1035019306
66	0.1096706115
67	0.1134936421
68	0.1005831608
69	0.1004626078
70	0.0933953671
71	0.0936361482
72	0.0922791063
73	0.0950327558
74	0.1073370951
75	0.1074590233
76	0.1210626248
77	0.1274227676
78	0.1152157676
79	0.0948090789
80	0.1016533401
81	0.1128644609
82	0.1091504838
83	0.1133949696
84	0.1289404553
85	0.1204697523
86	0.0952793602
87	0.0980298979
88	0.0889088867
89	0.0847107191
90	0.1086473181
91	0.0968871315
92	0.1002092078
93	0.1287196406
94	0.1278937469
95	0.1326383528

